Date_Indexed,New Listings,Pending Sales,Closed Sales,Days on Market Until Sale,Median Sales Price,Average Sales Price,Percent of List Price Received,Housing Affordability Index,Inventory of Homes for Sale,Absorption Rate
1,1415.0,946.0,672.0,75.0,175000.0,208826.0,96.5,159.0,3679.0,4.2
2,1661.0,1059.0,933.0,65.0,179900.0,215765.0,97.5,154.0,3837.0,4.3
4,1615.0,1060.0,1018.0,49.0,190000.0,226609.0,98.0,146.0,4062.0,4.5
6,1575.0,937.0,1070.0,48.0,189900.0,225778.0,97.8,149.0,4423.0,4.9
7,1545.0,1007.0,1083.0,50.0,190000.0,226322.0,97.6,149.0,4369.0,4.8
10,982.0,737.0,821.0,54.0,183000.0,218719.0,97.2,148.0,3800.0,4.2
12,1219.0,806.0,670.0,62.0,185500.0,218916.0,97.1,141.0,3241.0,3.5
13,1263.0,1059.0,633.0,66.0,186500.0,223104.0,97.6,143.0,2849.0,3.0
14,1662.0,1299.0,1011.0,54.0,187500.0,222759.0,97.7,142.0,2908.0,3.1
16,1858.0,1129.0,1229.0,44.0,199900.0,235448.0,98.2,138.0,3686.0,3.9
17,1806.0,1125.0,1247.0,47.0,199995.0,242360.0,98.1,137.0,3899.0,4.1
18,1624.0,1214.0,1075.0,42.0,199250.0,237814.0,97.9,137.0,3566.0,3.6
19,1626.0,1034.0,1117.0,44.0,202000.0,237151.0,98.0,138.0,3977.0,4.1
21,1315.0,946.0,982.0,46.0,198950.0,236542.0,97.6,137.0,3728.0,3.8
22,1073.0,917.0,826.0,51.0,199650.0,237089.0,97.9,137.0,3081.0,3.1
23,778.0,652.0,911.0,54.0,193900.0,230361.0,97.6,141.0,3071.0,3.2
24,1241.0,1037.0,721.0,58.0,187500.0,217679.0,97.8,141.0,2671.0,2.7
28,1833.0,1190.0,1221.0,39.0,209000.0,238891.0,98.3,123.0,3213.0,3.3
29,1750.0,1100.0,1180.0,39.0,213000.0,246169.0,98.1,122.0,3489.0,3.6
30,1592.0,1078.0,1127.0,37.0,210000.0,249015.0,98.2,124.0,3585.0,3.7
31,1560.0,1266.0,1171.0,41.0,215000.0,251598.0,97.9,121.0,3326.0,3.2
32,1325.0,891.0,1019.0,40.0,200000.0,240344.0,98.0,130.0,3424.0,3.4
33,1312.0,944.0,1003.0,42.0,199000.0,232105.0,98.0,118.0,3284.0,3.3
35,852.0,680.0,828.0,52.0,210000.0,247527.0,97.3,124.0,2673.0,2.7
36,1157.0,893.0,732.0,50.0,202245.0,250777.0,97.8,129.0,2554.0,2.6
37,1118.0,949.0,758.0,54.0,204000.0,242825.0,97.7,130.0,2401.0,2.4
39,1625.0,1243.0,1139.0,42.0,216900.0,259608.0,98.7,124.0,2460.0,2.4
40,1582.0,1312.0,1274.0,33.0,228000.0,266414.0,98.9,114.0,2273.0,2.2
41,1668.0,1349.0,1116.0,34.0,235000.0,271809.0,98.6,111.0,2438.0,2.4
42,1550.0,1373.0,1186.0,33.0,232000.0,264682.0,98.7,112.0,2379.0,2.3
44,1256.0,1094.0,1063.0,34.0,225000.0,261356.0,98.4,116.0,2384.0,2.3
45,1277.0,1125.0,1028.0,36.0,229900.0,269247.0,98.3,114.0,2306.0,2.2
47,718.0,791.0,966.0,41.0,226000.0,264617.0,98.3,115.0,1749.0,1.7
48,1103.0,1090.0,768.0,45.0,222500.0,256696.0,98.1,126.0,1610.0,1.5
49,1203.0,1195.0,809.0,46.0,230000.0,266264.0,98.4,122.0,1553.0,1.4
51,1146.0,1101.0,952.0,32.0,235000.0,270245.0,98.9,119.0,1575.0,1.5
